"","price","unit_size","land_size","age","todt","sales_year"
"1",327500,142.699005126953,232.257507324219,32,0,2011
"2",346314,195.096298217773,239.318130493164,10,0,2006
"3",349830,179.48860168457,201.413711547852,1,0,2006
"4",325000,174.750549316406,227.612350463867,106,0,2005
"5",285000,97.0836334228516,271.741271972656,104,0,2003
"6",445000,196.489837646484,278.709014892578,23,0,2007
"7",499000,203.271759033203,341.883026123047,29,0,2004
"8",220000,100.335243225098,96.6191177368164,13,0,2003
"9",730000,238.66780090332,371.611999511719,5,0,2006
"10",3e+05,147.158355712891,562.063171386719,51,0,2006
"11",250000,158.585418701172,117.057777404785,15,0,2007
"12",237500,181.160842895508,122.446151733398,7,0,2010
"13",305000,117.057777404785,252.138748168945,17,0,2003
"14",415000,188.128570556641,187.013732910156,10,0,2007
"15",189900,154.218978881836,222.967193603516,2,0,2003
"16",225440,61.5946884155273,222.967193603516,49,0,2004
"17",315000,114.456497192383,204.386596679688,33,0,2003
"18",214879,178.373764038086,143.535140991211,8,0,2010
"19",250458,162.858963012695,204.386596679688,3,0,2004
"20",348000,147.158355712891,871.8017578125,108,0,2007
"21",350000,134.709350585938,253.160675048828,3,0,2005
"22",359000,178.373764038086,185.805999755859,11,0,2004
"23",389900,129.32096862793,248.794235229492,35,0,2005
"24",499000,107.024253845215,375.328125,45,0,2005
"25",285000,196.211135864258,154.683502197266,17,0,2003
"26",430000,207.452392578125,232.257507324219,4,0,2004
"27",271556,139.354507446289,232.257507324219,0,0,2012
"28",385000,167.782821655273,185.991806030273,3,0,2007
"29",380000,169.547973632812,177.444732666016,23,0,2008
"30",330000,125.233245849609,278.709014892578,73,0,2003
"31",350000,180.603439331055,170.569900512695,17,0,2005
"32",415740,128.299041748047,210.611099243164,0,0,2012
"33",466436,219.715591430664,172.799575805664,0,0,2006
"34",284692,172.799575805664,176.515701293945,66,0,2009
"35",292000,171.870544433594,97.5481491088867,6,0,2005
"36",185000,91.0449371337891,59.4579200744629,13,0,2003
"37",572000,125.604858398438,464.515014648438,87,0,2007
"38",437236,158.306716918945,193.981460571289,4,0,2008
"39",735000,195.096298217773,557.418029785156,43,0,2005
"40",91642,90.859130859375,246.378753662109,97,0,2012
"41",299000,107.674575805664,153.847366333008,18,0,2006
"42",445200,127.091300964355,362.321685791016,47,0,2007
"43",446500,191.194366455078,174.750549316406,20,0,2006
"44",436020,158.306716918945,201.599502563477,2,0,2006
"45",360000,130.064193725586,949.468688964844,110,0,2011
"46",662500,167.225402832031,363.993957519531,8,0,2005
"47",360000,178.373764038086,160.350570678711,2,0,2003
"48",485000,267.560638427734,222.223968505859,5,0,2006
"49",220000,120.773902893066,46.4514999389648,9,0,2012
"50",270000,98.8487930297852,155.426712036133,17,0,2004
"51",316940,183.947937011719,239.318130493164,0,0,2004
"52",236250,236.902648925781,280.567047119141,9,0,2006
"53",672000,289.114135742188,371.611999511719,47,0,2012
"54",370000,126.348083496094,126.905494689941,13,0,2011
"55",510000,133.780319213867,478.450439453125,85,0,2005
"56",447200,169.826690673828,303.699920654297,13,0,2006
"57",440000,167.225402832031,220.644622802734,17,0,2012
"58",360700,146.322219848633,128.206146240234,17,0,2006
"59",1200000,465.072418212891,1217.95837402344,33,1,2003
"60",382000,115.850044250488,371.611999511719,33,0,2003
"61",595000,180.138916015625,613.159790039062,86,0,2006
"62",309000,137.868057250977,589.934020996094,69,0,2004
"63",327522,139.261596679688,196.489837646484,2,0,2008
"64",370000,95.8758926391602,100.706855773926,14,0,2006
"65",490000,195.096298217773,323.85986328125,9,0,2005
"66",395359,174.193130493164,208.102722167969,2,0,2005
"67",267000,107.024253845215,156.077041625977,24,0,2011
"68",355000,145.857711791992,109.253929138184,15,0,2006
"69",365000,53.5121269226074,401.340972900391,89,0,2004
"70",419475,148.551895141602,120.309387207031,4,0,2008
"71",402101,148.644805908203,185.805999755859,1,0,2005
"72",290000,269.418701171875,269.418701171875,74,0,2005
"73",450000,138.982894897461,176.515701293945,21,0,2006
"74",278100,106.838447570801,46.4514999389648,14,0,2005
"75",279000,167.225402832031,232.257507324219,103,0,2004
"76",875000,233.372329711914,743.223999023438,41,0,2011
"77",340000,91.7881622314453,371.611999511719,38,0,2003
"78",455800,207.731109619141,190.451156616211,9,0,2006
"79",360000,120.773902893066,260.128387451172,31,0,2011
"80",475860,202.900146484375,220.644622802734,6,0,2007
"81",60000,199.184036254883,220.830429077148,6,0,2006
"82",465000,174.00732421875,361.857177734375,47,0,2007
"83",340000,157.006072998047,102.193298339844,16,0,2009
"84",530000,167.225402832031,278.709014892578,14,0,2008
"85",338000,130.993225097656,120.95970916748,10,0,2005
"86",530000,168.711853027344,241.547805786133,7,0,2006
"87",242346,86.306884765625,32.7947578430176,2,0,2006
"88",220000,154.776397705078,603.869506835938,52,0,2012
"89",517900,213.676895141602,363.622344970703,8,0,2006
"90",425880,167.225402832031,265.702575683594,2,0,2007
"91",185000,86.9572067260742,91.7881622314453,13,0,2005
"92",404722,167.225402832031,185.805999755859,1,0,2005
"93",913927,384.525512695312,594.765014648438,1,0,2006
"94",155000,157.935104370117,185.805999755859,0,0,2004
"95",533563,215.534957885742,278.709014892578,1,0,2006
"96",260000,114.177787780762,278.709014892578,85,0,2005
"97",441550,149.759643554688,334.450805664062,77,0,2007
"98",205000,174.657638549805,278.709014892578,37,0,2007
"99",643000,114.828109741211,557.418029785156,61,0,2006
"100",585000,202.900146484375,565.221862792969,29,0,2004
"101",539673,301.934753417969,371.611999511719,2,0,2003
"102",3e+05,113.155853271484,402.734497070312,86,0,2006
"103",3e+05,111.483596801758,76.9236831665039,21,0,2006
"104",5e+05,83.0552825927734,371.611999511719,46,0,2006
"105",710000,183.947937011719,344.019805908203,108,0,2007
"106",549000,153.104141235352,371.611999511719,66,0,2006
"107",485000,102.193298339844,371.611999511719,81,0,2006
"108",230000,125.790664672852,46.4514999389648,4,0,2004
"109",330000,151.246078491211,278.709014892578,38,0,2008
"110",350000,255.297439575195,227.612350463867,50,0,2005
"111",482500,143.070617675781,271.741271972656,10,0,2005
"112",422000,120.03067779541,232.257507324219,36,0,2006
"113",480000,171.68473815918,371.611999511719,54,0,2004
"114",545000,197.883392333984,371.611999511719,36,0,2006
"115",369900,178.373764038086,203.178863525391,0,0,2003
"116",145000,93.6462249755859,232.257507324219,75,0,2010
"117",317000,141.305465698242,143.999649047852,18,0,2004
"118",272500,92.9029998779297,96.9907302856445,20,0,2008
"119",544763,224.639450073242,243.034240722656,1,0,2006
"120",250000,102.564910888672,185.805999755859,72,0,2003
"121",217897,129.32096862793,213.676895141602,87,0,2007
"122",380000,114.270690917969,216.742706298828,44,0,2004
